Time,Altitude,Velocity,Mass,Thrust,Phase
243.0,83658.62942107602,-139.3684125809406,24500.0,0,Re-entry
243.5,83587.09970086135,-143.0594404293574,24500.0,0,Re-entry
244.0,83513.75704325592,-146.68531521085987,24500.0,0,Re-entry
244.5,83438.63427882857,-150.24552885470302,24500.0,0,Re-entry
245.0,83361.76444311813,-153.73967142090117,24500.0,0,Re-entry
245.5,83283.18072886295,-157.16742851036327,24500.0,0,Re-entry
246.0,83202.91643962603,-160.52857847382825,24500.0,0,Re-entry
246.5,83121.00494490495,-163.82298944215148,24500.0,0,Re-entry
247.0,83037.47963680481,-167.05061620029127,24500.0,0,Re-entry
247.5,82952.37388834132,-170.2114969269852,24500.0,0,Re-entry
248.0,82865.72101343052,-173.30574982160238,24500.0,0,Re-entry
248.5,82777.55422861101,-176.33356963902563,24500.0,0,Re-entry
249.0,82687.90661653467,-179.29522415267306,24500.0,0,Re-entry
249.5,82596.81109125221,-182.19105056492572,24500.0,0,Re-entry
250.0,82504.30036531056,-185.02145188330377,24500.0,0,Re-entry
250.5,82410.40691867069,-187.78689327974092,24500.0,0,Re-entry
251.0,82315.16296944606,-190.48789844926236,24500.0,0,Re-entry
251.5,82218.60044645441,-193.12504598328633,24500.0,0,Re-entry
252.0,82120.75096356859,-195.69896577165844,24500.0,0,Re-entry
252.5,82021.64579584538,-198.21033544640238,24500.0,0,Re-entry
253.0,81921.31585740586,-200.65987687904143,24500.0,0,Re-entry
253.5,81819.79168103475,-203.04835274222194,24500.0,0,Re-entry
254.0,81717.10339946212,-205.37656314526382,24500.0,0,Re-entry
254.5,81613.28072828603,-207.64534235217877,24500.0,0,Re-entry
255.0,81508.35295049121,-209.85555558964418,24500.0,0,Re-entry
255.5,81402.34890251551,-212.0080959514043,24500.0,0,Re-entry
256.0,81295.29696181322,-214.10388140459557,24500.0,0,Re-entry
256.5,81187.22503586193,-216.1438519025635,24500.0,0,Re-entry
257.0,81078.16055255801,-218.12896660785867,24500.0,0,Re-entry
257.5,80968.13045194387,-220.06020122827042,24500.0,0,Re-entry
258.0,80857.16117920988,-221.93854546798124,24500.0,0,Re-entry
258.5,80745.27867891228,-223.76500059520353,24500.0,0,Re-entry
259.0,80632.50839034878,-225.54057712699282,24500.0,0,Re-entry
259.5,80518.87524403313,-227.26629263131926,24500.0,0,Re-entry
260.0,80404.40365921018,-228.94316964592022,24500.0,0,Re-entry
260.5,80289.1175423537,-230.57223371295018,24500.0,0,Re-entry
261.0,80173.0402865897,-232.15451152798897,24500.0,0,Re-entry
261.5,80056.19477198893,-233.69102920156402,24500.0,0,Re-entry
262.0,79938.60336667344,-235.18281063098362,24500.0,0,Re-entry
262.5,79820.28792868346,-236.63087597996557,24500.0,0,Re-entry
263.0,79701.26980855182,-238.0362402632752,24500.0,0,Re-entry
263.5,79581.56985253515,-239.39991203335796,24500.0,0,Re-entry
264.0,79461.20840645226,-240.72289216575925,24500.0,0,Re-entry
264.5,79340.20532008228,-242.00617273996878,24500.0,0,Re-entry
265.0,79218.57995207618,-243.2507360122033,24500.0,0,Re-entry
265.5,79096.3511753379,-244.45755347654838,24500.0,0,Re-entry
266.0,78973.5373828325,-245.62758501081467,24500.0,0,Re-entry
266.5,78850.15649378079,-246.76177810342435,24500.0,0,Re-entry
267.0,78726.22596020198,-247.86106715762662,24500.0,0,Re-entry
267.5,78601.7627737673,-248.92637286934428,24500.0,0,Re-entry
268.0,78476.78347292982,-249.95860167497628,24500.0,0,Re-entry
268.5,78351.30415029706,-250.95864526551944,24500.0,0,Re-entry
269.0,78225.34046021535,-251.9273801634254,24500.0,0,Re-entry
269.5,78098.907626536,-252.86566735867495,24500.0,0,Re-entry
270.0,77972.0204505357,-253.7743520006282,24500.0,0,Re-entry
270.5,77844.69331896455,-254.65426314229452,24500.0,0,Re-entry
271.0,77716.94021219767,-255.50621353376047,24500.0,0,Re-entry
271.5,77588.77471246687,-256.330999461613,24500.0,0,Re-entry
272.0,77460.21001215122,-257.1294006313011,24500.0,0,Re-entry
272.5,77331.25892210647,-257.90218008948784,24500.0,0,Re-entry
273.0,77201.9338800147,-258.6500841835559,24500.0,0,Re-entry
273.5,77072.24695873693,-259.3738425555459,24500.0,0,Re-entry
274.0,76942.20987465297,-260.0741681679191,24500.0,0,Re-entry
274.5,76811.83399597363,-260.7517573586544,24500.0,0,Re-entry
275.0,76681.13035101198,-261.40728992330276,24500.0,0,Re-entry
275.5,76550.1096364011,-262.0414292217374,24500.0,0,Re-entry
276.0,76418.78222524737,-262.65482230745175,24500.0,0,Re-entry
276.5,76287.1581752087,-263.2481000773668,24500.0,0,Re-entry
277.0,76155.24723648858,-263.82187744022036,24500.0,0,Re-entry
277.5,76023.05885973772,-264.3767535017152,24500.0,0,Re-entry
278.0,75890.60220385536,-264.9133117647085,24500.0,0,Re-entry
278.5,75757.88614368395,-265.4321203428244,24500.0,0,Re-entry
279.0,75624.91927759096,-265.93373218596895,24500.0,0,Re-entry
279.5,75491.7099349328,-266.41868531632156,24500.0,0,Re-entry
280.0,75358.26618339607,-266.88750307346675,24500.0,0,Re-entry
280.5,75224.59583621236,-267.34069436741737,24500.0,0,Re-entry
281.0,75090.70645924319,-267.77875393836405,24500.0,0,Re-entry
281.5,74956.60537793215,-268.2021626220651,24500.0,0,Re-entry
282.0,74822.29968412222,-268.611387619868,24500.0,0,Re-entry
282.5,74687.796242736,-269.0068827724261,24500.0,0,Re-entry
283.0,74553.10169831789,-269.3890888362425,24500.0,0,Re-entry
283.5,74418.22248143677,-269.75843376224117,24500.0,0,Re-entry
284.0,74283.16481494895,-270.11533297562505,24500.0,0,Re-entry
284.5,74147.93472012077,-270.46018965634175,24500.0,0,Re-entry
285.0,74012.538022611,-270.79339501953274,24500.0,0,Re-entry
285.5,73876.9803583133,-271.11532859539494,24500.0,0,Re-entry
286.0,73741.26717905933,-271.4263585079331,24500.0,0,Re-entry
286.5,73605.40375818327,-271.7268417521283,24500.0,0,Re-entry
287.0,73469.39519594872,-272.01712446909164,24500.0,0,Re-entry
287.5,73333.24642483931,-272.29754221881456,24500.0,0,Re-entry
288.0,73196.96221471422,-272.56842025016414,24500.0,0,Re-entry
288.5,73060.54717783032,-272.8300737678098,24500.0,0,Re-entry
289.0,72924.00577373242,-273.0828081958005,24500.0,0,Re-entry
289.5,72787.34231401366,-273.326919437544,24500.0,0,Re-entry
290.0,72650.56096694767,-273.5626941319679,24500.0,0,Re-entry
290.5,72513.66576199484,-273.7904099056716,24500.0,0,Re-entry
291.0,72376.66059418439,-274.01033562090186,24500.0,0,Re-entry
291.5,72239.54922837479,-274.2227316192094,24500.0,0,Re-entry
292.0,72102.33530339446,-274.4278499606656,24500.0,0,Re-entry
292.5,71965.02233606519,-274.6259346585385,24500.0,0,Re-entry
293.0,71827.61372511051,-274.81722190934624,24500.0,0,Re-entry
293.5,71690.1127549514,-275.0019403182231,24500.0,0,Re-entry
294.0,71552.52259939162,-275.1803111195489,24500.0,0,Re-entry
294.5,71414.84632519522,-275.35254839280816,24500.0,0,Re-entry
295.0,71277.08689555839,-275.5188592736573,24500.0,0,Re-entry
295.5,71139.24717347829,-275.6794441601912,24500.0,0,Re-entry
296.0,71001.32992502108,-275.8344969144117,24500.0,0,Re-entry
296.5,70863.33782249162,-275.98420505891005,24500.0,0,Re-entry
297.0,70725.27344750724,-276.12874996878514,24500.0,0,Re-entry
297.5,70587.13929397782,-276.2683070588274,24500.0,0,Re-entry
298.0,70448.93777099482,-276.4030459660055,24500.0,0,Re-entry
298.5,70310.67120563117,-276.53313072730015,24500.0,0,Re-entry
299.0,70172.3418456547,-276.65871995293503,24500.0,0,Re-entry
299.5,70033.95186215716,-276.77996699506025,24500.0,0,Re-entry
300.0,69895.5033521012,-276.89702011194856,24500.0,0,Re-entry
300.5,69756.99834078731,-277.01002262776876,24500.0,0,Re-entry
301.0,69618.4387842433,-277.1191130880039,24500.0,0,Re-entry
301.5,69479.82657153801,-277.2244254105863,24500.0,0,Re-entry
302.0,69341.1635270216,-277.326089032822,24500.0,0,Re-entry
302.5,69202.45141249451,-277.4242290541819,24500.0,0,Re-entry
303.0,69063.691929307,-277.51896637503773,24500.0,0,Re-entry
303.5,68924.88672039128,-277.6104178314209,24500.0,0,Re-entry
304.0,68786.03737222834,-277.6986963258874,24500.0,0,Re-entry
304.5,68647.14541675105,-277.7839109545688,24500.0,0,Re-entry
305.0,68508.2123331858,-277.8661671304928,24500.0,0,Re-entry
305.5,68369.23954983418,-277.94556670325585,24500.0,0,Re-entry
306.0,68230.22844579662,-278.02220807513123,24500.0,0,Re-entry
306.5,68091.18035263977,-278.0961863136955,24500.0,0,Re-entry
307.0,67952.09655600924,-278.16759326105665,24500.0,0,Re-entry
307.5,67812.97829718936,-278.23651763976613,24500.0,0,Re-entry
308.0,67673.8267746116,-278.30304515549716,24500.0,0,Re-entry
308.5,67534.64314531331,-278.36725859657076,24500.0,0,Re-entry
309.0,67395.4285263481,-278.4292379304101,24500.0,0,Re-entry
309.5,67256.1839961496,-278.4890603970033,24500.0,0,Re-entry
310.0,67116.91059584987,-278.5468005994529,24500.0,0,Re-entry
310.5,66977.60933055403,-278.60253059169094,24500.0,0,Re-entry
311.0,66838.28117057231,-278.65631996343507,24500.0,0,Re-entry
311.5,66698.92705261108,-278.7082359224623,24500.0,0,Re-entry
312.0,66559.54788092394,-278.7583433742741,24500.0,0,Re-entry
312.5,66420.14452842432,-278.806704999226,24500.0,0,Re-entry
313.0,66280.71783776073,-278.8533813271931,24500.0,0,Re-entry
313.5,66141.26862235581,-278.8984308098426,24500.0,0,Re-entry
314.0,66001.79766741052,-278.9419098905805,24500.0,0,Re-entry
314.5,65862.30573087439,-278.9838730722427,24500.0,0,Re-entry
315.0,65722.7935443831,-279.0243729825934,24500.0,0,Re-entry
315.5,65583.26181416425,-279.0634604376978,24500.0,0,Re-entry
316.0,65443.71122191263,-279.1011845032314,24500.0,0,Re-entry
316.5,65304.142425635735,-279.1375925537873,24500.0,0,Re-entry
317.0,65164.55606047061,-279.172730330242,24500.0,0,Re-entry
317.5,65024.95273947299,-279.2066419952394,24500.0,0,Re-entry
318.0,64885.33305437957,-279.2393701868483,24500.0,0,Re-entry
318.5,64745.69757634434,-279.2709560704516,24500.0,0,Re-entry
319.0,64606.04685664988,-279.3014393889201,24500.0,0,Re-entry
319.5,64466.38142739432,-279.3308585111249,24500.0,0,Re-entry
320.0,64326.7018021549,-279.3592504788398,24500.0,0,Re-entry
320.5,64187.00847662886,-279.3866510520836,24500.0,0,Re-entry
321.0,64047.30192925238,-279.4130947529524,24500.0,0,Re-entry
321.5,63907.582621798385,-279.4386149079885,24500.0,0,Re-entry
322.0,63767.85099995382,-279.4632436891325,24500.0,0,Re-entry
322.5,63628.10749387717,-279.4870121533043,24500.0,0,Re-entry
323.0,63488.35251873684,-279.50995028065546,24500.0,0,Re-entry
323.5,63348.58647523107,-279.53208701153704,24500.0,0,Re-entry
324.0,63208.80975008996,-279.55345028222297,24500.0,0,Re-entry
324.5,63069.02271656025,-279.5740670594295,24500.0,0,Re-entry
325.0,62929.22573487341,-279.59396337367014,24500.0,0,Re-entry
325.5,62789.41915269767,-279.6131643514828,24500.0,0,Re-entry
326.0,62649.60330557439,-279.63169424656724,24500.0,0,Re-entry
326.5,62509.77851733946,-279.6495764698669,24500.0,0,Re-entry
327.0,62369.945100530145,-279.6668336186309,24500.0,0,Re-entry
327.5,62230.1033567779,-279.683487504489,24500.0,0,Re-entry
328.0,62090.253577187614,-279.6995591805719,24500.0,0,Re-entry
328.5,61950.39604270376,-279.715068967709,24500.0,0,Re-entry
329.0,61810.5310244639,-279.73003647973337,24500.0,0,Re-entry
329.5,61670.65878413994,-279.7444806479238,24500.0,0,Re-entry
330.0,61530.77957426763,-279.75841974461275,24500.0,0,Re-entry
330.5,61390.89363856464,-279.77187140598755,24500.0,0,Re-entry
331.0,61251.001212237585,-279.784852654112,24500.0,0,Re-entry
331.5,61111.10252227849,-279.7973799181943,24500.0,0,Re-entry
332.0,60971.19778775093,-279.8094690551264,24500.0,0,Re-entry
332.5,60831.28722006627,-279.8211353693194,24500.0,0,Re-entry
333.0,60691.371023250336,-279.83239363185845,24500.0,0,Re-entry
333.5,60551.449394200834,-279.84325809899997,24500.0,0,Re-entry
334.0,60411.52252293582,-279.8537425300335,24500.0,0,Re-entry
334.5,60271.590592833556,-279.8638602045294,24500.0,0,Re-entry
335.0,60131.65378086406,-279.8736239389931,24500.0,0,Re-entry
